	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
RAB11FIP4	0.15322278	0.35779005	0.20319048	0.51610947	0.77107066	0.5277593	0.24552055	0.539272	0.44155234	0.35852754	0.3804705	0.6311762	0.29948756	0.2590189	0.8223378	0.5633091
GORAB	0.21498643	0.3203667	0.19327386	0.53888893	0.8329399	0.6646215	0.20970687	0.7261846	0.23363462	0.27863345	0.1977669	0.47342157	0.23968843	0.5191651	0.5239634	0.27595234
ACAP2	0.33633265	0.3033844	0.31330848	0.944832	0.9648647	0.29952934	0.20067166	0.63306487	0.3992126	0.14597385	0.21909262	0.60623115	0.20275585	0.10356696	0.9937325	0.053921003
ARFGAP3	0.18859534	0.3672696	0.14074369	0.64459825	0.9117152	0.8300132	0.14152569	0.8934185	0.3475315	0.07981887	0.49668285	0.33330396	0.17651474	0.4461951	0.91513383	0.16971837
ARFIP1	0.4610951	0.07994336	0.38547313	0.9983575	0.9386585	0.21306475	0.058669083	0.03344086	0.3260614	0.5430978	0.033493444	0.8919811	0.117170066	0.0419344	0.9942601	0.012185348
ARF1	0.14873818	0.3625102	0.14478609	0.7930694	0.9153592	0.66191584	0.18599796	0.82776093	0.3959314	0.12756453	0.47171602	0.53405344	0.20716889	0.2664787	0.96248776	0.15582241
CDKN2A	0.29411075	0.5082735	0.9679198	0.98032296	0.9343847	0.20941025	0.12266744	0.06662561	0.033966582	0.7591092	0.06711681	0.94563055	0.57347375	0.15504621	0.9906743	0.04436347
GBF1	0.11629854	0.30543247	0.1533917	0.5528136	0.90303934	0.80645484	0.08686672	0.80839473	0.3433369	0.15409046	0.28658453	0.38775063	0.19905898	0.446185	0.7412401	0.2165424
ARFIP2	0.21869084	0.17634746	0.2523899	0.96991986	0.91072965	0.5187914	0.03601386	0.29106405	0.32203242	0.24960601	0.057715893	0.6388583	0.2997825	0.2581835	0.9097066	0.06655516
AGAP1	0.21736786	0.15119497	0.31281447	0.96273106	0.94986194	0.42875662	0.14575057	0.5669526	0.42894387	0.19183226	0.22931528	0.6651517	0.17376156	0.0711886	0.9870003	0.09286007
ASAP2	0.13937275	0.31254968	0.42505467	0.891293	0.8231655	0.30664435	0.23390041	0.4822863	0.50398356	0.42138547	0.22699796	0.6859793	0.2531563	0.24108775	0.92179424	0.303325
COPZ1	0.1463377	0.3452164	0.17444402	0.50782144	0.87109625	0.79896593	0.11620788	0.8289921	0.34288418	0.1791701	0.25540122	0.37466908	0.24347037	0.5157944	0.64704794	0.2088738
M6PR	0.09076053	0.30611908	0.11844854	0.6255763	0.89448166	0.5964758	0.061378296	0.62420887	0.324008	0.13537367	0.10736337	0.5782827	0.30617028	0.4884826	0.75220865	0.2046468
GGA3	0.23494409	0.43915468	0.18210563	0.91370225	0.9247865	0.39818478	0.11472719	0.5307934	0.28145438	0.09631956	0.12248389	0.8709139	0.31902203	0.20794979	0.9814865	0.10268657
VTI1A	0.033582363	0.24143158	0.09461408	0.2679717	0.8469677	0.8066693	0.03366868	0.6439887	0.29797262	0.28845102	0.09086064	0.4035926	0.2774573	0.60021913	0.20615229	0.32249698
TGOLN2	0.07586769	0.33260456	0.087983094	0.4819191	0.8643844	0.75702137	0.066191055	0.71651995	0.30706185	0.16159166	0.1615348	0.46632817	0.28953603	0.556153	0.6130315	0.3232603
GGA2	0.15933333	0.3683236	0.15752688	0.8342184	0.89852357	0.5039899	0.08276215	0.68445116	0.24132599	0.10163744	0.13989852	0.7630531	0.4082911	0.44651216	0.93135124	0.1248252
GGA1	0.21916287	0.40780646	0.2185924	0.8219567	0.8592535	0.34321633	0.1863453	0.49736547	0.31934246	0.21831587	0.19418211	0.81275636	0.37800294	0.3032241	0.9431881	0.15734453
IGF2R	0.115466274	0.3556836	0.22457032	0.50097644	0.7662917	0.51230085	0.25094807	0.5274697	0.47989205	0.33207938	0.19128203	0.5599356	0.36605573	0.32213783	0.6687561	0.33538774
PLIN3	0.10254671	0.29738417	0.13851961	0.7274457	0.8944206	0.5447149	0.07800872	0.6410692	0.28038016	0.17033203	0.12892942	0.5194156	0.35299912	0.66105115	0.614165	0.16434623
FKBP4	0.0501491	0.22111095	0.3427579	0.88991714	0.8233815	0.19504938	0.14001231	0.116372354	0.2227631	0.55971956	0.06968242	0.8020043	0.36533508	0.26236448	0.81952375	0.108841844
STIP1	0.121588424	0.11887164	0.2982969	0.9689566	0.7863015	0.10190501	0.15320702	0.17430371	0.25364113	0.46214357	0.07669694	0.79177237	0.2781146	0.29310682	0.8919246	0.037565492
NR3C2	0.24218912	0.61900115	0.6174507	0.83023024	0.876825	0.21151522	0.6240581	0.21127227	0.18797483	0.6943893	0.21790123	0.86320394	0.3896631	0.32762975	0.5812782	0.31506056
FKBP5	0.23251203	0.89839387	0.99673694	0.63303405	0.92664236	0.21437287	0.23806839	0.34761116	0.0033659646	0.6359221	0.30598998	0.9424177	0.94861466	0.42875186	0.9853361	0.25443706
SERPINB2	0.09736682	0.18334387	0.7082238	0.9646051	0.8912626	0.19322197	0.07955387	0.18473636	0.070470616	0.700359	0.098269954	0.9375504	0.6328977	0.6062732	0.88471746	0.043198183
HSPA8	0.3365416	0.46669388	0.5726787	0.40683836	0.16951329	0.58672744	0.4985156	0.11966605	0.53998375	0.46556088	0.65543836	0.6281093	0.1292021	0.21382053	0.18941648	0.3631588
GLMN	0.02790994	0.3329948	0.12206964	0.3222349	0.6309916	0.34421408	0.23948479	0.24002926	0.28776863	0.6513894	0.07652324	0.62281686	0.71273494	0.23334144	0.8380157	0.62286836
HSF1	0.108200476	0.11318916	0.07523009	0.9908354	0.9214421	0.14910279	0.08697621	0.23011711	0.6842893	0.068666905	0.02086262	0.605386	0.33504954	0.2637007	0.99692106	0.030510135
HSPA2	0.43760633	0.8452569	0.848289	0.25535452	0.14639881	0.7014529	0.8121555	0.04905466	0.052230313	0.90107924	0.9724095	0.873894	0.01268273	0.5268169	0.081594676	0.9749063
MTOR	0.22779912	0.9999236	0.99999285	0.032548007	0.9709735	0.7770461	0.9526564	0.5723737	2.5012154e-05	0.9034724	0.986816	0.9941421	0.6335515	0.59647506	0.9697449	0.9515713
AKT1	0.9497705	0.013415021	0.9978908	0.9999999	0.9999907	2.3863422e-05	4.1684223e-05	5.686805e-06	0.0014853333	0.7073382	4.7213584e-09	0.99999785	0.008349495	0.014569942	0.99754554	1.2338595e-07
PTGES3	0.020584622	0.14912967	0.22106427	0.9957694	0.97943866	0.07746676	0.058109708	0.37964743	0.78849846	0.20542921	0.059374817	0.8348812	0.19211075	0.5295983	0.9775718	0.052539654
DNAJB1	0.18073645	0.013970989	0.17371927	0.99913436	0.8938749	0.019026842	0.0362733	0.018676357	0.22275236	0.41578454	0.006513208	0.82573676	0.19181454	0.40183496	0.9445733	0.0010279743
PPID	0.13863404	0.00748887	0.044260863	0.9999367	0.959302	0.030639878	0.06555413	0.015477279	0.04064225	0.1361631	0.13479799	0.47556245	0.28901538	0.9823417	0.41098619	0.00027912628
HSP90AB1	0.062177632	0.0108688995	0.32923114	0.9999405	0.9898566	0.010936549	0.007752778	0.011544152	0.1789335	0.3563356	0.00079352676	0.9649817	0.1136432	0.25604174	0.97947276	0.00043982826
HSPA4	0.16072847	0.0062682712	0.16549784	0.99991703	0.93773407	0.009269003	0.010789824	0.007361277	0.118247606	0.4152006	0.003555427	0.90093523	0.11861724	0.70913815	0.94356287	0.00017634938
CDC37L1	0.2650015	0.4028516	0.44023427	0.46252915	0.6688702	0.29840562	0.33836356	0.3617165	0.336625	0.5622276	0.20129874	0.6281623	0.4925571	0.46478808	0.5421692	0.3010992
CDC37	0.2231603	0.0025011005	0.19394115	0.9999864	0.97969145	0.003202916	0.007631004	0.0033936321	0.055222683	0.31289667	0.0010367137	0.9523485	0.12943871	0.6344388	0.9352618	5.7292014e-05
NR3C1	0.23701994	0.8976392	0.9976343	0.8659201	0.9552996	0.12354931	0.2149414	0.2507496	0.0046690986	0.6888797	0.061941978	0.9635692	0.95192534	0.2910809	0.99228525	0.16183694
HSP90AA1	0.022155792	0.024428708	0.15995665	0.99971896	0.9918326	0.026791092	0.02053123	0.04883889	0.22327478	0.18669768	0.007883928	0.87774473	0.11623807	0.8205017	0.881625	0.0014452457
PHYH	0.05141199	0.3863336	0.20074876	0.31013617	0.7423181	0.26068553	0.34662393	0.3331984	0.47361767	0.54888546	0.13818637	0.52597433	0.36413017	0.37493652	0.3928892	0.40917915
PGR	0.38355693	0.07429619	0.8004313	0.98434466	0.97682285	0.073737346	0.15752405	0.1314506	0.14292046	0.057674758	0.029256007	0.9649469	0.33872417	0.44364518	0.95042586	0.3508907
S100A1	0.36846712	0.48822	0.5392865	0.61227745	0.5608474	0.535099	0.4350064	0.33931363	0.41544795	0.51755613	0.52790904	0.57849854	0.47048563	0.46313557	0.6430845	0.5321716
AHSA1	0.053418268	0.09663295	0.24365656	0.96992546	0.87174356	0.1227455	0.13437197	0.1508483	0.31402203	0.47555837	0.07041081	0.76000553	0.25639132	0.70702714	0.7393929	0.021845963
DCTN2	0.24014641	0.22053333	0.064015076	0.6918535	0.47750998	0.3583711	0.10421072	0.4265464	0.19150943	0.8083301	0.27961832	0.7151816	0.1552069	0.21103472	0.92862976	0.2906289
PHLPP1	0.25293767	0.31382307	0.24371359	0.9002054	0.46862695	0.34583506	0.2783875	0.29907903	0.25127617	0.68095106	0.12107516	0.6715427	0.47943565	0.26874486	0.8397098	0.19206774
CLCA1	0.48319453	0.4869872	0.4963792	0.52674335	0.6433161	0.43032485	0.5927399	0.7171924	0.508095	0.48059648	0.62485003	0.5753942	0.41911015	0.46203268	0.7450485	0.37373415
ADSL	0.03583518	0.5814146	0.13833548	0.9721158	0.19383584	0.24476507	0.8502504	0.39763355	0.019485041	0.8350856	0.19698916	0.80486315	0.16246517	0.7015483	0.87125665	0.5516181
HSPA1A	0.15924786	0.0035582324	0.20193043	0.9999447	0.91948867	0.011361869	0.0066773575	0.0032528255	0.22807263	0.3643794	0.00071004924	0.92394495	0.08379948	0.067180954	0.98917705	7.4423326e-05
ESR1	0.14757383	0.99979824	0.9999937	0.058137275	0.9735348	0.53690124	0.88946503	0.44690752	4.9410628e-05	0.9044026	0.88093126	0.98583734	0.95060974	0.6061728	0.9627347	0.8647881
AR	0.1784794	0.23898724	0.843696	0.99019146	0.9615181	0.06164866	0.15707786	0.08912368	0.20709096	0.64583844	0.01056323	0.9231667	0.50851554	0.100909114	0.97395587	0.10490999
HSPA1B	0.23152992	0.011787403	0.26206964	0.99926025	0.8475377	0.015379494	0.0258574	0.009925518	0.24552721	0.54534537	0.0066284854	0.90807885	0.13532999	0.2450039	0.8791299	0.00062472536
CHUK	0.21350461	0.02369781	0.6999817	0.9981639	0.80369806	0.04330759	0.010231016	0.008073844	0.10511545	0.8444056	0.003551913	0.9776758	0.3350191	0.11115282	0.9740504	0.0025296358
CYP26B1	0.034673125	0.43376005	0.35794273	0.9871481	0.9874226	0.06786933	0.6956217	0.099394225	0.5119915	0.06398008	0.14192964	0.87383956	0.74016964	0.04763623	0.5824815	0.2720962
CYP2C9	0.019440258	0.38876444	0.37005794	0.99886334	0.9992404	0.022157408	0.68804	0.03018829	0.68873656	0.02707334	0.07883168	0.96250993	0.92506605	0.0132361	0.7664495	0.13227652
CYP4A22	0.033357497	0.40271506	0.35614693	0.99504167	0.9952318	0.04549161	0.72305506	0.065193266	0.54650223	0.06480468	0.15310903	0.92186385	0.80894554	0.03520205	0.6832653	0.20759618
CYP3A7	0.014331782	0.39453468	0.31666648	0.9987968	0.9993079	0.019308876	0.6989556	0.02908265	0.6743504	0.025645228	0.056626525	0.9601557	0.9289139	0.014188044	0.7831381	0.14328368
CYP3A5	0.018862048	0.58307767	0.5673752	0.9970387	0.9990355	0.024960782	0.712878	0.039463274	0.4696406	0.03434544	0.07533534	0.9689887	0.9540685	0.020187004	0.83754295	0.1733477
CRABP1	0.17671114	0.82099116	0.83345425	0.97421694	0.98463905	0.07257087	0.87296504	0.08203538	0.03458257	0.43686062	0.4105246	0.96140397	0.19957434	0.1826168	0.5884667	0.7056523
CYP2C8	0.020737894	0.38994023	0.38939327	0.99859184	0.9990258	0.02544872	0.67983097	0.036095124	0.68212986	0.030371336	0.089646675	0.95742834	0.91009474	0.014681979	0.75809777	0.13537343
CYP2S1	0.013866165	0.40133286	0.36105895	0.99859923	0.99917907	0.01908372	0.73238647	0.027417406	0.6928831	0.022417473	0.05499821	0.9610422	0.93212193	0.011280562	0.6997476	0.13802859
RDH10	0.08554212	0.5165892	0.6351251	0.95890564	0.84742165	0.20329116	0.75534487	0.44079086	0.3961174	0.26558232	0.32335863	0.76175356	0.40616143	0.118159235	0.50761217	0.33354646
ALDH1A1	0.03617522	0.4324813	0.5145915	0.9888437	0.9893668	0.0696916	0.74642473	0.14642113	0.6152568	0.070410855	0.15571441	0.85530025	0.7684996	0.034963652	0.52187264	0.16566555
CYP26A1	0.03788152	0.41697085	0.48646903	0.99023694	0.9900802	0.0651668	0.7560207	0.13954313	0.58136034	0.077484846	0.18332419	0.8596486	0.74232113	0.039038945	0.569918	0.18207721
CYP26C1	0.037881892	0.40135583	0.3773093	0.99339056	0.99520195	0.04772833	0.73994964	0.08589662	0.61950785	0.06406136	0.16645785	0.89999145	0.8093515	0.031340603	0.65835726	0.19639322
ENSP00000480571	0.014178384	0.39493522	0.31612214	0.99875295	0.9992981	0.019486286	0.70000756	0.029465225	0.67541844	0.025422364	0.05666085	0.95978576	0.9283152	0.014415196	0.78046757	0.14510025
CYP1A2	0.015301914	0.39652607	0.31971177	0.9990145	0.9994386	0.019704878	0.69446796	0.02656731	0.7033599	0.022028962	0.06132287	0.96663564	0.9366004	0.01216213	0.7808457	0.13094807
CYP3A4	0.015315556	0.38966796	0.32676098	0.99934	0.999642	0.015546159	0.681146	0.020701833	0.7044752	0.02198721	0.052857965	0.9721143	0.94832706	0.01111927	0.8090372	0.12120352
CYP1A1	0.014046368	0.3937143	0.32611224	0.9989152	0.9994235	0.018540857	0.69622505	0.02523138	0.6997858	0.02195328	0.05311482	0.96474874	0.93906504	0.011964615	0.7733722	0.13540007
AOX1	0.02556978	0.41265795	0.38495618	0.97230667	0.9776438	0.078214936	0.6906834	0.13746114	0.49523047	0.12866513	0.15660937	0.84161973	0.7672744	0.0591634	0.5750092	0.22147417
CYP2C18	0.60763055	0.88891053	0.9819572	0.96692365	0.9979824	0.99702877	0.99999845	0.11563658	0.0011213346	0.97691214	0.31716612	0.999335	0.67475826	0.68860406	0.8411726	0.85805374
CYP2A6	0.016270697	0.41641873	0.25896543	0.9984976	0.9989687	0.02828326	0.70396197	0.03103314	0.6486667	0.032356873	0.06250538	0.9615812	0.92683053	0.01689827	0.74580425	0.14300792
UGT2B7	0.021145696	0.41528565	0.31192735	0.9943158	0.9969193	0.037841994	0.757051	0.063506424	0.6501248	0.040906705	0.10072023	0.9052306	0.881929	0.034224253	0.6838797	0.18067446
CYP2B6	0.021724025	0.3821472	0.3403136	0.99871826	0.99915063	0.025297487	0.6682688	0.032386422	0.68020517	0.027854823	0.08732914	0.95891535	0.91985875	0.015988354	0.76146084	0.13235663
CYP4A11	0.038422275	0.4172693	0.3583884	0.9957795	0.99611545	0.04239378	0.7340024	0.055424817	0.52665454	0.07320359	0.15876067	0.93146026	0.7856201	0.036798906	0.6782821	0.23530516
UGT2A2	0.021692446	0.41245747	0.26748118	0.9923798	0.9959144	0.03876824	0.7656737	0.06702139	0.62141836	0.040973566	0.1142269	0.89485264	0.8768066	0.04612444	0.6662083	0.20140155
STRA8	0.30050355	0.39573783	0.3933396	0.7623345	0.7274847	0.2628147	0.4556732	0.45057225	0.44415373	0.40267757	0.2665929	0.5798198	0.41341814	0.32115465	0.6194956	0.44425327
ALDH1A3	0.0413293	0.44851863	0.53772295	0.982834	0.98251826	0.08657771	0.77734417	0.1911079	0.6016932	0.08402703	0.20143226	0.8244979	0.70723253	0.039662715	0.4633196	0.19458903
ALDH1A2	0.04044975	0.44310138	0.54222786	0.98250234	0.9828456	0.08829422	0.7663596	0.19552168	0.6211023	0.080901474	0.19374599	0.8188116	0.7273192	0.038298562	0.4729148	0.18302265
NANOS2	0.057910543	0.4281961	0.1998047	0.8372004	0.4697133	0.33397335	0.1799514	0.38064986	0.17679134	0.15501547	0.099648856	0.65641326	0.13133104	0.42025366	0.6950506	0.58514464
UGT1A6	0.019404154	0.4101975	0.3126215	0.99547064	0.99736327	0.03501188	0.758041	0.05678136	0.6487152	0.03908543	0.090340815	0.91766167	0.8877408	0.029753039	0.67644525	0.17156054
NDUFAF7	0.085110985	0.0033985497	0.017817102	0.99995685	0.97745925	0.025537927	0.06765581	0.016516268	0.012545411	0.07712601	0.30735642	0.10247753	0.36167726	0.99977094	0.1651988	0.00015508127
NDUFAF3	0.07309215	0.005247885	0.018281562	0.999918	0.9796061	0.044871103	0.06812041	0.032611325	0.019000458	0.063803345	0.36006242	0.10773464	0.34191847	0.9997286	0.24453996	0.0003243097
NDUFAF6	0.09344257	0.015250204	0.049750134	0.9996952	0.9712289	0.04761373	0.16708608	0.043467272	0.044456087	0.094873555	0.3544887	0.16539949	0.4384239	0.9964592	0.27198982	0.0011788663
NDUFA7	0.066960625	0.0040884796	0.009551578	0.999951	0.97496694	0.05126007	0.07872118	0.022029372	0.008877856	0.062478952	0.36427754	0.07943398	0.36729968	0.9998147	0.1952363	0.00018394832
NDUFS3	0.06583326	0.0040897457	0.010441986	0.99996006	0.9778646	0.040421803	0.08023709	0.020390024	0.010399448	0.0593445	0.35498095	0.09764763	0.33282954	0.9997882	0.1993729	0.00017142975
NDUFS2	0.061829235	0.0037297956	0.010590406	0.99995935	0.97649676	0.035874642	0.08292486	0.018578582	0.009471208	0.06092286	0.332077	0.10080897	0.33092776	0.99980766	0.18301703	0.00018258793
TIMMDC1	0.08958185	0.0051456466	0.019860255	0.9999181	0.97519636	0.040841617	0.08214054	0.024687314	0.0153032215	0.06631476	0.36239648	0.104157805	0.36333704	0.9996625	0.18680131	0.00029641457
NDUFA10	0.075957656	0.0039989976	0.011978021	0.99996126	0.979653	0.04161076	0.068699166	0.020936934	0.010581755	0.04954177	0.3607355	0.090424	0.37775892	0.99980897	0.19442098	0.00017356384
NDUFS8	0.0655744	0.003770148	0.011632313	0.99996376	0.979487	0.03438217	0.07635398	0.018729014	0.011390567	0.054845907	0.3591731	0.09584869	0.32922116	0.9998161	0.18690519	0.00015247859
NDUFAF4	0.07170268	0.0037147156	0.0142373955	0.99995494	0.98003423	0.034486074	0.07452836	0.020469874	0.011540447	0.053198714	0.34099087	0.08599165	0.37597626	0.9998196	0.19179027	0.00017512831
NDUFS7	0.0851222	0.0040112324	0.013698952	0.9999603	0.9782663	0.04088448	0.069349244	0.020753795	0.010875508	0.057205763	0.3777916	0.09183172	0.36244223	0.9997876	0.17593034	0.00017152051
NDUFAF1	0.07179062	0.00423131	0.016134083	0.9999368	0.97784686	0.03727545	0.084132165	0.023364719	0.01348484	0.06024486	0.35347304	0.08573576	0.36881855	0.9997669	0.20684452	0.0002106672
TMEM126B	0.072602935	0.003539976	0.015894454	0.99995553	0.97901607	0.031088278	0.07094129	0.019236512	0.011633761	0.062288836	0.3082158	0.09025392	0.36307403	0.9997992	0.18477403	0.00017355903
NDUFAF5	0.090746604	0.008965122	0.031450357	0.99967253	0.9572926	0.047819823	0.15264261	0.042249423	0.031478286	0.101175725	0.3950723	0.12212395	0.31341887	0.99858713	0.23564665	0.00072949706
NUBPL	0.14955135	0.023374759	0.05409589	0.99892527	0.923063	0.059296582	0.24565418	0.062287416	0.043505292	0.24177979	0.34572032	0.24378897	0.35456622	0.99437016	0.22127451	0.003401471
NDUFAF2	0.07149393	0.0036630107	0.013660086	0.9999583	0.9811219	0.035602998	0.07475048	0.020187795	0.011838257	0.052881915	0.34487146	0.08089552	0.38680884	0.9998286	0.18682864	0.00015659156
NDUFB5	0.06847166	0.00391748	0.010363515	0.999959	0.9779188	0.04830612	0.07251731	0.021582613	0.009272809	0.0555085	0.37466586	0.07808625	0.36646143	0.9998122	0.2005259	0.00016610719
NDUFA13	0.06843439	0.00401695	0.012235546	0.999954	0.9768226	0.04427446	0.07833352	0.021181144	0.010003625	0.059600126	0.3739849	0.082292885	0.35618153	0.9998017	0.17953615	0.00017875011
ATP5F1C	0.04415396	0.01974967	0.004526214	0.99981767	0.9761003	0.08895086	0.15796237	0.09385827	0.048473567	0.020448063	0.41770273	0.08535893	0.262377	0.9968869	0.927868	0.00066355156
ACAD9	0.068520114	0.017646834	0.038238186	0.99905664	0.9540598	0.043304943	0.14352073	0.035418525	0.047986776	0.13785213	0.28371418	0.21808597	0.42232195	0.9960652	0.20752244	0.0022114087
ECSIT	0.11086264	0.01529132	0.050410815	0.99931574	0.94381577	0.071386255	0.14337935	0.05730735	0.038927	0.12558104	0.3760946	0.14946055	0.3614282	0.9975442	0.26788116	0.0015783694
TMEM186	0.12529935	0.007328434	0.035305843	0.9997609	0.9623031	0.033791732	0.10956164	0.028891355	0.030181255	0.14732829	0.34266356	0.13658738	0.33976814	0.9989422	0.23860662	0.00055024907
NDUFA5	0.057323612	0.0037779897	0.008644509	0.9999554	0.9792532	0.0517985	0.0792129	0.022020662	0.008953897	0.053485345	0.3742278	0.07326352	0.3457722	0.9998202	0.22334701	0.00016586315
FUCA2	0.39584246	0.7120957	0.04368926	0.93069345	0.8002295	0.9297984	0.8912756	0.85797536	0.7049144	0.93856	0.3954538	0.7822946	0.47386724	0.25593308	0.77186877	0.0836004
FUCA1	0.30118364	0.6155123	0.03706667	0.9356585	0.7559078	0.86851627	0.87409776	0.76599854	0.5054686	0.8849664	0.22051063	0.80370253	0.5339951	0.29007763	0.79825103	0.11668074
GLB1	0.3388631	0.72030604	0.14190643	0.8936353	0.799136	0.8744324	0.77926034	0.8438287	0.6997722	0.8770756	0.32185632	0.830014	0.5049984	0.24729577	0.81061274	0.13918923
HS3ST1	0.25893205	0.4354238	0.34923047	0.616291	0.529364	0.40905115	0.559855	0.5622535	0.37293124	0.54707503	0.2454126	0.5479666	0.5422063	0.52916855	0.6394128	0.64528996
HS2ST1	0.2566208	0.45274746	0.50028884	0.6665412	0.63616234	0.27974817	0.48540848	0.49862266	0.4169125	0.49964988	0.2655698	0.49772894	0.5339187	0.4549045	0.6604133	0.4520505
SULT1C3	0.23450391	0.3979673	0.3286274	0.668133	0.5524862	0.34107107	0.5889945	0.5590707	0.3756127	0.558522	0.2162427	0.5290217	0.5359296	0.5749735	0.65404814	0.6075312
UST	0.30969867	0.50919694	0.4893001	0.59528625	0.53534734	0.34258434	0.5155087	0.53833526	0.52742636	0.5504544	0.34816882	0.453585	0.5238344	0.51933634	0.5194074	0.55601954
GLCE	0.23388721	0.4659847	0.51483035	0.6778081	0.6151661	0.2746733	0.4988754	0.5056861	0.40268	0.5337426	0.21677773	0.5432406	0.5498963	0.4434043	0.65430325	0.48504114
SULT1B1	0.22453097	0.38866025	0.31258535	0.6980001	0.5871735	0.33196563	0.5909528	0.53803074	0.3626852	0.54139477	0.20345837	0.5544081	0.5506386	0.558977	0.6697047	0.6028314
SULT1C4	0.24263239	0.40512487	0.33366624	0.66089815	0.5582226	0.34638944	0.5893999	0.554667	0.38364002	0.5482401	0.23187535	0.52493656	0.53513145	0.5682669	0.64650714	0.5979754
HS6ST1	0.24794157	0.52706033	0.5638482	0.69811493	0.7343401	0.22371733	0.4262798	0.44272396	0.35951117	0.45816225	0.119619675	0.699322	0.5570809	0.440562	0.6961303	0.38169712
SEMA3F	0.29888296	0.57218194	0.77995855	0.7822828	0.9317501	0.15853705	0.16489251	0.16510543	0.15028432	0.743647	0.16749701	0.9613066	0.29272714	0.28051782	0.78094	0.3283238
PLXNA4	0.18129762	0.38009468	0.43129444	0.42493096	0.7524537	0.43790463	0.24934292	0.4873583	0.37057602	0.5714109	0.44490296	0.75161654	0.48355317	0.25229195	0.7722813	0.51373374
PLXNA1	0.2250408	0.44553715	0.47074753	0.39399436	0.70495486	0.4675412	0.33354628	0.47540554	0.36516377	0.60189354	0.5514683	0.69296414	0.43922767	0.2928295	0.701677	0.6140756
NRCAM	0.40010825	0.5217237	0.58404905	0.5865862	0.5773908	0.4047077	0.5290013	0.36586308	0.28788704	0.7094666	0.72220194	0.71947783	0.19811329	0.44152284	0.53497136	0.6623589
