	MF: KIRC	METH: KIRC	GE: KIRC	MF: BRCA	METH: BRCA	GE: BRCA	MF: READ	METH: READ	GE: READ	MF: PRAD	METH: PRAD	GE: PRAD	MF: STAD	METH: STAD	GE: STAD	MF: HNSC	METH: HNSC	GE: HNSC	MF: LUAD	METH: LUAD	GE: LUAD	MF: THCA	METH: THCA	GE: THCA	MF: BLCA	METH: BLCA	GE: BLCA	MF: ESCA	METH: ESCA	GE: ESCA	MF: LIHC	METH: LIHC	GE: LIHC	MF: UCEC	METH: UCEC	GE: UCEC	MF: COAD	METH: COAD	GE: COAD	MF: LUSC	METH: LUSC	GE: LUSC	MF: CESC	METH: CESC	GE: CESC	MF: KIRP	METH: KIRP	GE: KIRP
ABCB7	0.0	0.0	0.007830486	0.026098489	0.0	0.037924302	0.0	0.0	0.001466883	0.022701227	0.0	0.005109598	0.012074132	0.0	0.000367652	0.0	0.0	0.030281552	0.059811138	0.0	0.005174734	0.0	0.0	0.003957569	0.030412723	0.0	0.038148829	0.0	0.0	0.027182905	0.0	0.0	0.011030867	0.011209103	0.0	0.03297114	0.0	0.0	0.008872439	0.054882712	0.0	0.003206681	0.028054027	0.0	0.018820289	0.0	0.0	0.021904834
ABCC2	0.0	0.337907815	0.046902809	0.015865263	0.199885365	0.143113888	0.056449004	0.45921313	0.122695921	0.0	0.020360499	0.03167854	0.051395807	0.450419095	0.058299596	0.027221725	0.077012497	0.056215536	0.019698275	0.150754026	0.053224488	0.007206487	0.005972156	0.11922564	0.030657624	0.316103244	0.179122522	0.0	0.317256928	0.04022456	0.07480555	0.190494689	0.027294448	0.022830926	0.139756309	0.105003398	0.005254299	0.373088285	0.136277171	0.053837888	0.214868426	0.032997865	0.0	0.180171769	0.051828208	0.081730094	0.108821958	0.225402311
ABCC8	0.012656012	0.166742675	0.08273501	0.005284273	0.237349411	0.018466294	0.027814965	0.18465357	0.193676713	0.0	0.235300998	0.106239634	0.048141111	0.028359202	0.179602467	0.04089911	0.356001137	0.0	0.098182874	0.332591456	0.178878431	0.0	0.033308998	0.214455131	0.0	0.183239859	0.485285478	0.025740625	0.322662365	0.571635382	0.074032542	0.113319835	0.003118614	0.007388271	0.172899699	0.391090188	0.010667491	0.323143467	0.195468986	0.0	0.098640311	0.217428185	0.0	0.475337208	0.509541664	0.0	0.1251203	0.124532037
ABCE1	0.012832307	0.000759816	0.003922373	0.005313776	0.001856203	0.011159286	0.0	0.007163254	0.05852943	0.022771411	0.02689419	0.02278728	0.012832418	0.020184962	0.081892475	0.00548699	0.018809419	0.019039344	0.040621029	0.031948133	0.052077675	0.0	0.002682947	0.021692386	0.030254997	0.023303066	0.009544307	0.0	0.010975416	0.055955307	0.025005067	0.026648367	0.00490946	0.007669619	0.054237012	0.012928264	0.005349868	0.003661793	0.080749063	0.0	0.031023194	0.054710325	0.0	0.013009412	0.043183544	0.040938161	0.003792041	0.011002648
ABCF2	0.0	0.01055234	0.012074809	0.005305492	0.004684294	0.014163117	0.028384548	0.000752422	0.034792357	0.0	0.007744475	0.011961069	0.012708747	0.007221356	0.045096419	0.005296252	0.006051825	0.011831144	0.020512562	0.000786737	0.050957302	0.0	0.013068525	0.013181085	0.03064377	0.005980326	0.014913403	0.027101506	0.010062842	0.046467816	0.0	0.002124177	0.087597932	0.003827024	0.00301784	0.036286122	0.005443432	0.003271876	0.034965099	0.109527714	0.019345572	0.062963614	0.055750635	0.007262212	0.004696974	0.040917043	0.004106839	0.012640761
ABI1	0.0	0.00696299	0.008248163	0.005135527	0.008398221	0.021488812	0.0	0.000405255	0.012563009	0.0	0.01872119	0.040909054	0.012820692	0.032585255	0.004994466	0.010381725	0.012352145	0.022678861	0.0	0.01549524	0.011598007	0.0	0.004128915	0.010362951	0.0	0.020010623	0.025544427	0.0	0.030905945	0.043907131	0.024325123	0.002671957	0.047429084	0.021855449	0.018541716	0.00078856	0.0	0.00212071	0.021516392	0.0	0.015315281	0.02548718	0.026785088	0.008159445	0.046725551	0.0	0.019989727	0.015620255
ABI2	0.012645189	0.012477611	0.017703434	0.00521003	0.012555315	0.000878856	0.0	0.00604857	0.009800252	0.0	0.026694491	0.009790375	0.02427734	0.007386817	0.021983574	0.010600443	0.00626238	0.057100201	0.039313235	0.006743115	0.017422886	0.0	0.02520758	0.004258224	0.055090561	0.004342034	0.045835161	0.0	0.024159187	0.016977827	0.0	0.015385413	0.040509331	0.020866633	0.001713754	0.004833307	0.0	0.006367282	0.067622295	0.0	0.015351459	0.007594323	0.083514906	0.019208959	0.078690007	0.079503595	0.003937817	0.036190759
ABL1	0.012810706	0.035202316	0.00202867	0.02120139	0.133302889	0.044578482	0.0	0.013028927	0.03043806	0.022757402	0.098498862	0.009669275	0.0	0.103179417	0.007949638	0.010943693	0.070291164	0.022342148	0.061061919	0.075866674	0.007076385	0.003602542	0.002466026	0.034945629	0.0	0.008906962	0.144658659	0.0	0.074385429	0.033839859	0.0	0.01327802	0.069894622	0.022875777	0.027171903	0.129990278	0.005423626	0.069896631	0.042082371	0.0	0.089206163	0.039560305	0.0	0.114354309	0.144113329	0.0816191	0.146133258	0.013942071
ABL2	0.025316522	0.000946511	0.048377494	0.004343693	0.024548919	0.016304206	0.0	0.025791214	0.043357622	0.0	0.042337677	0.020104622	0.024915696	0.007227007	0.075649175	0.026872849	0.032452042	0.125401107	0.0	0.002741932	0.020402612	0.010747663	0.003761562	0.006141334	0.0	0.036893622	0.055364615	0.025647956	0.020741995	0.033507316	0.0	0.011581811	0.085214782	0.02159755	0.024177976	0.014045826	0.005332177	0.042132629	0.033926322	0.053078231	0.04190867	0.013038642	0.022194385	0.036978358	0.016398151	0.080703942	0.053761175	0.011929128
ABLIM1	0.012628867	0.226116324	0.061589125	0.005279686	0.321155351	0.181140201	0.0	0.285673151	0.016091054	0.022663001	0.125194828	0.11390668	0.034139118	0.206250184	0.027576116	0.01424014	0.007981639	0.127323815	0.019642668	0.122677744	0.143601717	0.003275136	0.358968628	0.094398288	0.0	0.047697574	0.154478731	0.0	0.0394732	0.079556699	0.074169154	0.246300557	0.033759434	0.003550124	0.003155269	0.072222362	0.005334303	0.242980247	0.002425266	0.048997728	0.175345258	0.087916182	0.0	0.014418924	0.006762976	0.040346737	0.270939076	0.041471959
ABLIM2	0.012762381	0.008005703	0.029627261	0.015763228	0.004788235	0.023324845	0.0	0.005408423	0.069952677	0.0	0.007542339	0.055087765	0.04865707	0.147697986	0.038146316	0.00523499	0.000860189	0.131383123	0.020306297	0.023313469	0.055733055	0.003598712	0.020821125	0.061262759	0.0	1.9e-05	0.132125937	0.0	0.010662462	0.079872319	0.0	0.010758266	0.107827371	0.028817762	0.024150694	0.05135724	0.005338956	0.014987903	0.043819805	0.053317845	0.016081426	0.075319066	0.0	0.020988363	0.144151291	0.0	0.002640595	0.038988788
ABLIM3	0.0	0.094296543	0.142218574	0.0	0.042747838	0.202318751	0.028213668	0.02684489	0.091273709	0.0	0.00117541	0.098719603	0.011788885	0.13430154	0.021450443	0.010760793	0.001620789	0.124657342	0.040476983	0.08644134	0.228901928	0.0	0.073669981	0.107294351	0.0	0.041623479	0.119140564	0.0	0.034922689	0.078103361	0.024880061	0.072931485	0.100773002	0.007541312	0.216738594	0.263030593	0.010763103	0.033933027	0.084820408	0.0	0.012832204	0.269137034	0.0	0.054730853	0.246194037	0.040896881	0.053131352	0.026310771
ABR	0.0	0.093987274	0.018055184	0.0	0.185297942	0.040817867	0.0	0.110074362	0.026044789	0.021580961	0.050044463	0.029267204	0.0	0.177523306	0.001697731	0.021744421	0.033227361	0.06543112	0.019971595	0.127532968	0.054748751	0.003602226	0.148701877	0.156946777	0.090943298	0.136690459	0.091913545	0.0	0.240778526	0.025980607	0.0	0.127395771	0.009723363	0.036908338	0.007074624	0.046841318	0.010640895	0.103334177	0.044325881	0.0	0.07333998	0.100785845	0.028139322	0.223334444	0.032257175	0.040721843	0.057813149	0.065500866
ABRAXAS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACAA1	0.0	0.011928866	0.072508615	0.0	0.01624289	0.020284076	0.0	0.010621819	0.047011395	0.04516377	0.001678388	0.006745427	0.0	0.013489271	0.051843296	0.0	0.007219404	0.094732883	0.0	0.008233232	0.053591984	0.0	0.006720306	0.032458671	0.0	0.014678246	0.00724367	0.0	0.022700224	0.063156554	0.025015932	0.003063964	0.164413488	0.007747565	0.004694501	0.05057794	0.010859133	0.003634372	0.080207089	0.0	0.007196618	0.087043587	0.0	0.008063954	0.018174656	0.081728052	0.003154495	0.079057311
ACACA	0.025503787	0.006555287	0.050257416	0.030936174	0.003130578	0.013472655	0.028059869	0.003110188	0.028650657	0.022602379	0.005242001	0.105069602	0.044991302	0.004715617	0.052316228	0.074693784	0.001558324	0.012273072	0.075587734	0.001179664	0.012754811	0.0	0.003558169	0.007379543	0.119957556	0.00816861	0.019719062	0.079120273	0.002001372	0.014528644	0.0	0.000227516	0.086653628	0.052925176	0.005490635	0.07275179	0.0151175	0.003667563	0.073845989	0.049312731	0.012007343	0.002557662	0.049207793	0.000118363	0.076927544	0.040488932	0.001988033	0.016264327
ACACB	0.0	0.122569298	0.057513447	0.010463155	0.304928719	0.399588419	0.0	0.047684039	0.127350105	0.022669345	0.601367936	0.188986709	0.097859217	0.000441356	0.086708956	0.036741228	0.083312832	0.166708816	0.0	0.083543847	0.173004631	0.0	0.006405903	0.215389576	0.0910667	0.001039981	0.246326894	0.02685088	0.421962381	0.234208098	0.0	0.140034669	0.102912957	0.025284081	0.153653408	0.260261323	0.036448592	0.071485825	0.128966992	0.159856186	0.113931459	0.190996423	0.083734958	0.26095698	0.231072471	0.040379067	0.036456639	0.069440959
ACADL	0.0	0.058553926	0.036223875	0.005237839	0.430129034	0.601622446	0.0	0.047520232	0.228275493	0.0	0.054045112	0.022308482	0.013016223	0.127645651	0.197169032	0.005467029	0.249194266	0.316525863	0.020546873	0.153609181	0.502947727	0.00714298	0.007614554	0.083487354	0.0	0.066027734	0.139401619	0.02711814	0.169888274	0.474322409	0.0	0.006661366	0.172136665	0.003858507	0.059935476	0.17910062	0.0	0.194067257	0.18357393	0.0	0.040531847	0.383232885	0.0	0.199141611	0.155603815	0.081888328	0.018581774	0.013410387
ACADM	0.012825185	0.006628024	0.082225508	0.010611207	0.00112983	0.076780487	0.0	0.001108544	0.100094208	0.0	0.004408219	0.030024482	0.013011905	0.04595743	0.06848762	0.0	0.003261244	0.101080327	0.0	0.007821846	0.030953342	0.0	0.002960461	0.093407577	0.0	0.000752683	0.080215851	0.0	0.009266571	0.10383685	0.0	0.006149573	0.101605321	0.007529743	0.001033769	0.029629711	0.0	0.007809284	0.104729344	0.163587848	0.01264682	0.055141056	0.0	0.006077254	0.006678055	0.081672459	0.005190307	0.088840491
ACAN	0.012652604	0.0	0.189176061	0.005049601	0.0	0.266501915	0.024293683	0.0	0.259450471	0.067870027	0.0	0.04233191	0.060249044	0.0	0.329192466	0.010672354	0.0	0.237747834	0.109323008	0.0	0.117929918	0.003596762	0.0	0.222324816	0.055390327	0.0	0.069532073	0.0	0.0	0.188708362	0.048897791	0.0	0.26964278	0.020989407	0.0	0.025399894	0.025965801	0.0	0.289615239	0.052449428	0.0	0.056703318	0.053431262	0.0	0.024789131	0.081028953	0.0	0.127692475
ACAP1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACAP2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACD	0.012779389	0.004409508	0.043376921	0.0	0.002804799	0.025814516	0.0	0.002907879	0.065790152	0.0	0.007880632	0.021523688	0.012546264	0.000673599	0.008276999	0.01048318	0.004945087	0.07361358	0.040591851	0.005240042	0.004169087	0.003603314	0.002196162	0.022758857	0.030520224	0.004361863	0.015332309	0.0	0.001096115	0.050770215	0.0	0.005507168	0.068812063	0.007653946	0.005966143	0.07437504	0.005424481	0.003356144	0.066977554	0.054514741	0.004476242	0.028083613	0.054581884	0.002584118	0.054214222	0.0	0.00235617	0.040837069
ACE	0.0	0.012498171	0.103184318	0.015898638	0.071915594	0.050799613	0.0	0.009952475	0.011920802	0.045485171	0.270757178	0.114678488	0.025202354	0.001214329	0.06114275	0.02187029	0.022651308	0.033434806	0.0	0.057356762	0.222128355	0.0	0.004514907	0.040900453	0.0	0.013316179	0.028803845	0.02698059	0.003618372	0.024392212	0.0	0.091136893	0.093761017	0.014783414	0.017994932	0.057396521	0.036758514	0.008984969	0.023246188	0.0	0.038126463	0.246578968	0.053754908	0.018534453	0.170898457	0.122056868	0.045322262	0.057873568
ACE2	0.0	0.0	0.018375459	0.00530972	0.0	0.331082034	0.0	0.0	0.092253247	0.022759182	0.0	0.220042949	0.0258065	0.0	0.111770909	0.0	0.0	0.045904967	0.0	0.0	0.04287563	0.0	0.0	0.025220825	0.0	0.0	0.014996294	0.02690577	0.0	0.090066736	0.024948731	0.0	0.207644677	0.007690781	0.0	0.065574891	0.0	0.0	0.013100592	0.0	0.0	0.025328451	0.0	0.0	0.163378056	0.0	0.0	0.019424991
ACIN1	0.025546553	0.015961164	0.024081141	0.025521679	0.008858026	0.001243114	0.0	0.000436553	0.014001743	0.045406773	0.005933774	0.024545634	0.061598217	0.016089838	0.025801253	0.010813051	0.001049146	0.022951762	0.019423945	0.00885695	0.036324683	0.003597698	0.003859399	0.011161822	0.0	0.001332475	0.029199333	0.0	0.009060182	0.000911883	0.049233825	0.004492624	0.055661004	0.025088308	0.002907755	0.006025204	0.01004241	0.009375968	0.01597753	0.0	0.01749577	0.021885648	0.103237557	0.002221472	0.014706719	0.08110102	0.005790729	0.02717438
ACKR3	0.0	0.032286054	0.144223725	0.0	0.091862911	0.20716923	0.0	5.53e-06	0.077515253	0.022644918	0.023543884	0.131188038	0.0	0.192854568	0.069846637	0.0	0.091976192	0.108847502	0.041028235	0.005781116	0.096383814	0.0	0.005086228	0.133803134	0.0	0.020891607	0.174800749	0.0	0.133338533	0.103498963	0.050090558	0.078567211	0.015961992	0.007707095	0.047760968	0.063278547	0.021685544	0.086883104	0.057544829	0.0	0.046927701	0.145364834	0.0	0.132844568	0.023001369	0.0	0.029355874	0.042805987
ACKR4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACLY	0.025545526	0.052509123	0.089667059	0.015888913	0.015582842	0.04482131	0.028089892	0.012238113	0.045994645	0.0	0.006489794	0.078269151	0.0	0.030653902	0.046776963	0.010657659	0.008064609	0.065180043	0.020190908	0.00845453	0.029446932	0.0	0.001988647	0.006549463	0.030627298	0.032248232	0.069630789	0.0	0.002990213	0.053411046	0.0	0.02869619	0.115923111	0.025627692	0.002648626	0.040417408	0.021539271	0.007701834	0.05332848	0.054255527	0.001243802	0.018192006	0.0	0.015903114	0.024684449	0.121960061	0.016279687	0.016756952
ACO1	0.01274703	0.017411518	0.061947399	0.004892359	0.01744461	0.173791433	0.0	0.000352804	0.022249199	0.022753643	0.003844806	0.043554679	0.012713822	0.022958894	0.048299777	0.01629921	0.00411052	0.016312267	0.020347392	0.002604271	0.021913114	0.0	0.014954552	0.045796128	0.029951214	0.003935547	0.050628341	0.0	0.027384036	0.105682856	0.074435108	0.000984654	0.075506026	0.033375211	0.001613429	0.063301025	0.0	0.000167123	0.026151153	0.053903285	0.018380344	0.084548995	0.0	0.023050686	0.059350009	0.040794147	0.007874964	0.093612548
ACOT1	0.0	0.004013133	0.058191016	0.00530168	0.016319618	0.075711732	0.0	0.004713215	0.093814193	0.0	0.035766152	0.04243427	0.025526244	0.065398821	0.062283631	0.0	0.005428602	0.00076348	0.0	0.004641372	0.115124782	0.0	0.000332679	0.000869471	0.0	0.009042203	0.094788596	0.0	0.01728339	0.057154071	0.0	0.007392292	0.083743794	0.0	0.012310848	0.035701439	0.0	0.022623517	0.077297875	0.0	0.032302339	0.187603269	0.0	0.003825759	0.182554115	0.0	0.044042044	0.089306746
ACOT11	0.0	0.010767293	0.171310681	0.0	0.480276628	0.013878165	0.0	0.314346477	0.046538574	0.0	0.607441792	0.196405352	0.0	0.232659382	0.057486543	0.027312655	0.414467882	0.043918111	0.0	0.411549647	0.129288359	0.0	0.002820164	0.138201064	0.059965947	0.385135384	0.020897402	0.0	0.586302201	0.05508287	0.0	0.048159605	0.026210259	0.030380891	0.413340447	0.102004822	0.010824361	0.256099742	0.087472706	0.054378796	0.32238261	0.105721236	0.055158172	0.442789577	0.170718914	0.081655658	0.100485746	0.102605268
ACOT12	0.0	0.211257181	0.43867755	0.0	0.400604705	0.0	0.0	0.398956002	0.0	0.045546886	0.568271331	0.209007353	0.026089058	0.217679338	0.0	0.011001059	0.377873716	0.0	0.02050872	0.379484785	0.0	0.003604152	0.006810356	0.086840114	0.0	0.128540814	0.0	0.027123645	0.514692627	0.0	0.050101469	0.042786545	0.164152323	0.00385158	0.584498987	0.0	0.016263708	0.501402683	0.0	0.0	0.258198871	0.0	0.028270084	0.632733581	0.0	0.0	0.241703265	0.0
ACOT13	0.0	0.006992361	0.020547529	0.0	0.00254105	0.00367043	0.0	0.004701862	0.027442009	0.0	0.003640787	0.010576742	0.0	0.003255025	0.00620909	0.0	0.002481548	0.023060223	0.0	0.000747324	0.039533861	0.00358867	0.003408083	0.028802212	0.0	0.003195028	0.056331513	0.0	0.003694108	0.003944697	0.0	0.004516214	0.052382516	0.007569449	0.003540809	0.077813458	0.005308504	0.002064746	0.031500665	0.0	0.007889316	0.019869416	0.026659321	0.000609596	0.036310274	0.0	0.003668297	0.041840332
ACOT7	0.012810249	0.016397294	0.014802478	0.0	0.056833216	0.12240869	0.0	0.001397432	0.003740609	0.0	0.040412005	0.00047885	0.012627319	0.036208254	0.046364234	0.0	0.003097022	0.095671784	0.020228678	0.084432195	0.003159957	0.003601615	0.074919732	0.142068834	0.0	0.071723629	0.065712622	0.0	0.044057695	0.119919735	0.0	0.013505532	0.019864014	0.003690366	0.076805953	0.081903393	0.0	0.015628304	0.00448594	0.0	0.046512994	0.062990832	0.0	0.038700421	0.107685211	0.0	0.031357743	0.116855319
ACOX1	0.012805261	0.004358613	0.062923471	0.0	0.002649853	0.061403494	0.0	0.004151432	0.048671763	0.045464503	0.005555375	0.002503902	0.012956399	0.018824144	0.044654026	0.005427364	0.026088241	0.084837644	0.020459135	0.01565499	0.003744234	0.0	0.008602674	0.018712351	0.030487928	0.015295346	0.039317843	0.0	0.02234981	0.059077882	0.024951288	0.00445912	0.086077706	0.01133224	0.01944986	0.039147172	0.00542635	0.010494168	0.130805216	0.0	0.005723731	0.021349065	0.028095673	0.000175284	0.043408119	0.081651435	0.001198923	0.057341947
ACOX2	0.0	0.174597946	0.079982408	0.0	0.305596377	0.055208125	0.0	0.042671176	0.01970077	0.0	0.545801817	0.286691224	0.038508263	0.029440414	0.145040602	0.010973033	0.253205408	0.186395397	0.020527094	0.065240519	0.016462329	0.0	0.064490076	0.00915741	0.0	0.291170694	0.340239409	0.027005875	0.241986982	0.117458896	0.050073963	0.104593438	0.097551385	0.003812214	0.605906139	0.286734991	0.005435449	0.009745616	0.006315942	0.0	0.300974575	0.221768706	0.0	0.574788158	0.417104336	0.081847944	0.361012664	0.13373693
ACOX3	0.012819316	0.015314755	0.005979338	0.00509202	0.024777181	0.006031631	0.027694636	0.020886928	0.015299608	0.0	0.039987618	0.00616212	0.051372883	0.00297617	0.054589704	0.0	0.040954345	0.102667126	0.0	0.031513178	0.009607077	0.0	0.022648931	0.026410106	0.0	0.06280457	0.008105706	0.0	0.010730622	0.068600505	0.02498808	0.033544061	0.020408687	0.018917484	0.04616151	0.036000142	0.005415975	0.009312894	0.030886054	0.0	0.014715331	0.048110372	0.053624131	0.0331621	0.063291095	0.081769384	0.003788033	0.013116709
ACP1	0.0	0.007666976	0.001523412	0.0	0.003749757	0.039664159	0.0	0.003587537	0.046125391	0.022754434	0.012871767	0.02239005	0.0	0.001432702	0.035503962	0.0	0.009764201	0.033052816	0.0	0.000666087	0.049981005	0.0	0.004353717	0.004574496	0.0	0.008427851	0.070658933	0.0	0.003256338	0.014603011	0.0	0.005346754	0.022049804	0.0191924	0.005543261	0.072929877	0.0	0.006339228	0.048026242	0.0	0.008042808	0.071297965	0.0	0.000408754	0.045796731	0.0	0.003118458	0.001725977
